2022-03-13 17:04:59 - demo_train.py[line:58] - INFO: epoch 0, step 0 ,loss 86.1022
2022-03-13 17:10:06 - demo_train.py[line:58] - INFO: epoch 0, step 1000 ,loss 6.4662
2022-03-13 17:15:01 - demo_train.py[line:58] - INFO: epoch 0, step 2000 ,loss 3.0811
2022-03-13 17:15:39 - demo_train.py[line:58] - INFO: epoch 1, step 0 ,loss 3.1797
2022-03-13 17:20:35 - demo_train.py[line:58] - INFO: epoch 1, step 1000 ,loss 17.3274
2022-03-13 17:25:40 - demo_train.py[line:58] - INFO: epoch 1, step 2000 ,loss 9.8007
2022-03-13 17:26:15 - demo_train.py[line:58] - INFO: epoch 2, step 0 ,loss 9.4332
2022-03-13 17:31:12 - demo_train.py[line:58] - INFO: epoch 2, step 1000 ,loss 18.7908
2022-03-13 17:36:13 - demo_train.py[line:58] - INFO: epoch 2, step 2000 ,loss 7.3766
2022-03-13 17:36:41 - demo_train.py[line:58] - INFO: epoch 3, step 0 ,loss 7.5981
2022-03-13 17:40:45 - demo_train.py[line:58] - INFO: epoch 3, step 1000 ,loss 14.8208
2022-03-13 17:43:52 - demo_train.py[line:58] - INFO: epoch 3, step 2000 ,loss 6.4954
2022-03-13 17:44:12 - demo_train.py[line:58] - INFO: epoch 4, step 0 ,loss 6.9113
2022-03-13 17:47:10 - demo_train.py[line:58] - INFO: epoch 4, step 1000 ,loss 13.2889
2022-03-13 17:50:15 - demo_train.py[line:58] - INFO: epoch 4, step 2000 ,loss 6.1730
2022-03-13 17:50:36 - demo_train.py[line:58] - INFO: epoch 5, step 0 ,loss 6.6564
2022-03-13 17:53:29 - demo_train.py[line:58] - INFO: epoch 5, step 1000 ,loss 12.7814
2022-03-13 17:56:25 - demo_train.py[line:58] - INFO: epoch 5, step 2000 ,loss 5.9693
2022-03-13 17:56:46 - demo_train.py[line:58] - INFO: epoch 6, step 0 ,loss 6.5412
2022-03-13 17:59:42 - demo_train.py[line:58] - INFO: epoch 6, step 1000 ,loss 12.5540
