2022-03-13 18:04:12 - demo_train.py[line:58] - INFO: epoch 0,step 0 ,loss 126.6707
2022-03-13 18:07:17 - demo_train.py[line:58] - INFO: epoch 0,step 1000 ,loss 3.6605
2022-03-13 18:10:38 - demo_train.py[line:58] - INFO: epoch 0,step 2000 ,loss 1.4800
2022-03-13 18:11:02 - demo_train.py[line:58] - INFO: epoch 1,step 0 ,loss 2.4456
2022-03-13 18:14:08 - demo_train.py[line:58] - INFO: epoch 1,step 1000 ,loss 2.9073
2022-03-13 18:17:16 - demo_train.py[line:58] - INFO: epoch 1,step 2000 ,loss 0.8181
2022-03-13 18:17:37 - demo_train.py[line:58] - INFO: epoch 2,step 0 ,loss 0.9652
2022-03-13 18:20:34 - demo_train.py[line:58] - INFO: epoch 2,step 1000 ,loss 2.1102
2022-03-13 18:23:33 - demo_train.py[line:58] - INFO: epoch 2,step 2000 ,loss 0.3666
2022-03-13 18:23:53 - demo_train.py[line:58] - INFO: epoch 3,step 0 ,loss 2.3806
2022-03-13 18:26:41 - demo_train.py[line:58] - INFO: epoch 3,step 1000 ,loss 0.5804
2022-03-13 18:29:30 - demo_train.py[line:58] - INFO: epoch 3,step 2000 ,loss 0.0321
2022-03-13 18:29:50 - demo_train.py[line:58] - INFO: epoch 4,step 0 ,loss 0.4532
2022-03-13 18:32:37 - demo_train.py[line:58] - INFO: epoch 4,step 1000 ,loss 0.5520
2022-03-13 18:35:27 - demo_train.py[line:58] - INFO: epoch 4,step 2000 ,loss 0.0020
2022-03-13 18:35:46 - demo_train.py[line:58] - INFO: epoch 5,step 0 ,loss 2.9530
2022-03-13 18:38:34 - demo_train.py[line:58] - INFO: epoch 5,step 1000 ,loss 0.0111
2022-03-13 18:41:24 - demo_train.py[line:58] - INFO: epoch 5,step 2000 ,loss -0.0023
2022-03-13 18:41:43 - demo_train.py[line:58] - INFO: epoch 6,step 0 ,loss 0.6800
2022-03-13 18:44:31 - demo_train.py[line:58] - INFO: epoch 6,step 1000 ,loss 0.0082
2022-03-13 18:47:29 - demo_train.py[line:58] - INFO: epoch 6,step 2000 ,loss 0.0228
2022-03-13 18:47:50 - demo_train.py[line:58] - INFO: epoch 7,step 0 ,loss 0.7710
2022-03-13 18:50:37 - demo_train.py[line:58] - INFO: epoch 7,step 1000 ,loss 0.1836
2022-03-13 18:53:27 - demo_train.py[line:58] - INFO: epoch 7,step 2000 ,loss 0.6770
2022-03-13 18:53:46 - demo_train.py[line:58] - INFO: epoch 8,step 0 ,loss 0.2892
2022-03-13 18:56:34 - demo_train.py[line:58] - INFO: epoch 8,step 1000 ,loss 0.0077
2022-03-13 18:59:24 - demo_train.py[line:58] - INFO: epoch 8,step 2000 ,loss 0.8773
2022-03-13 18:59:43 - demo_train.py[line:58] - INFO: epoch 9,step 0 ,loss 0.4289
2022-03-13 19:02:35 - demo_train.py[line:58] - INFO: epoch 9,step 1000 ,loss 0.6779
2022-03-13 19:05:32 - demo_train.py[line:58] - INFO: epoch 9,step 2000 ,loss 0.0270
2022-03-13 19:05:53 - demo_train.py[line:58] - INFO: epoch 10,step 0 ,loss 0.0148
2022-03-13 19:08:40 - demo_train.py[line:58] - INFO: epoch 10,step 1000 ,loss -0.0103
2022-03-13 19:11:29 - demo_train.py[line:58] - INFO: epoch 10,step 2000 ,loss 0.6946
2022-03-13 19:11:48 - demo_train.py[line:58] - INFO: epoch 11,step 0 ,loss 0.0666
2022-03-13 19:14:43 - demo_train.py[line:58] - INFO: epoch 11,step 1000 ,loss 0.0120
2022-03-13 19:17:41 - demo_train.py[line:58] - INFO: epoch 11,step 2000 ,loss 0.0142
2022-03-13 19:18:01 - demo_train.py[line:58] - INFO: epoch 12,step 0 ,loss 0.0198
2022-03-13 19:20:48 - demo_train.py[line:58] - INFO: epoch 12,step 1000 ,loss -0.0148
2022-03-13 19:23:36 - demo_train.py[line:58] - INFO: epoch 12,step 2000 ,loss 0.0102
2022-03-13 19:23:56 - demo_train.py[line:58] - INFO: epoch 13,step 0 ,loss 1.0184
2022-03-13 19:26:42 - demo_train.py[line:58] - INFO: epoch 13,step 1000 ,loss -0.0181
2022-03-13 19:29:31 - demo_train.py[line:58] - INFO: epoch 13,step 2000 ,loss 0.0015
2022-03-13 19:29:50 - demo_train.py[line:58] - INFO: epoch 14,step 0 ,loss 0.3315
2022-03-13 19:32:36 - demo_train.py[line:58] - INFO: epoch 14,step 1000 ,loss 0.0275
2022-03-13 19:35:24 - demo_train.py[line:58] - INFO: epoch 14,step 2000 ,loss 0.0212
2022-03-13 19:35:43 - demo_train.py[line:58] - INFO: epoch 15,step 0 ,loss 0.6408
2022-03-13 19:38:29 - demo_train.py[line:58] - INFO: epoch 15,step 1000 ,loss 0.0056
2022-03-13 19:41:17 - demo_train.py[line:58] - INFO: epoch 15,step 2000 ,loss -0.0079
2022-03-13 19:41:37 - demo_train.py[line:58] - INFO: epoch 16,step 0 ,loss -0.0039
2022-03-13 19:44:23 - demo_train.py[line:58] - INFO: epoch 16,step 1000 ,loss -0.0229
2022-03-13 19:47:11 - demo_train.py[line:58] - INFO: epoch 16,step 2000 ,loss 0.0051
2022-03-13 19:47:30 - demo_train.py[line:58] - INFO: epoch 17,step 0 ,loss 0.0033
2022-03-13 19:50:17 - demo_train.py[line:58] - INFO: epoch 17,step 1000 ,loss -0.0131
2022-03-13 19:53:16 - demo_train.py[line:58] - INFO: epoch 17,step 2000 ,loss -0.0214
2022-03-13 19:53:37 - demo_train.py[line:58] - INFO: epoch 18,step 0 ,loss -0.0155
2022-03-13 19:56:43 - demo_train.py[line:58] - INFO: epoch 18,step 1000 ,loss -0.0196
2022-03-13 20:00:00 - demo_train.py[line:58] - INFO: epoch 18,step 2000 ,loss -0.0205
2022-03-13 20:00:23 - demo_train.py[line:58] - INFO: epoch 19,step 0 ,loss -0.0174
2022-03-13 20:03:37 - demo_train.py[line:58] - INFO: epoch 19,step 1000 ,loss -0.0267
2022-03-13 20:06:56 - demo_train.py[line:58] - INFO: epoch 19,step 2000 ,loss -0.0221
